Id,Nom_Variete,Code_Variete,Espece,Type_Genetique,Caractere_Genetique,Origine,Date_Creation,Statut_Commercialisation,Produit_Lab,Resultats_Etudes,Date_Mise_A_Jour,Taille_Plant,Couleur_Epi,Date_Maturation,Taux_Proteine,Rendement_Par_Hectare,Resilience_Sol,Resistance_Temperature,Temps_Pousse,Type_Environnement,Age_Variete,Nombre_Epi,Longueur_Epi,Densite_Plante,Type_Engrais,Plante_Compagnon,Densite_Meteo,Resistance_Maladies,Taux_Humidite,Impact_Chimique,Technologie_Utilisee,Zone_Predominante,Description_Produit,Type_Utilisation,Performance_Climatique,Type_Culture,Qualite_Semence,Durabilite,Strategie_Amelioration,Taux_Produit_OGM
1,Avoine-1605,AV784,Avoine,Synthétique,Tolérance sécheresse,États-Unis,1581465600000,Commercialisé,KWS,"
        Essai 1 :
        - Rendement moyen: 78.9 q/ha
        - Taux de germination: 97.7%
        - Résistance maladie: Bonne
        - Test en conditions réelles: À confirmer
        ",1732294828570,0.84,Roux,1592438400000,15.41,115.53,6.41,21.7,175,Serre,3,6,14.0,376,Azote organique,Féverole,1.18,Faible,12.16,Élevé,Sélection assistée par marqueurs,Nord,Variété de Avoine adaptée pour climat océanique,Alimentation animale,Bonne,Conservation,Certifiée,3 ans,Sélection récurrente,4%
2,Seigle-5495,SE865,Seigle,Lignée pure,Résistance maladies++,France,1591747200000,En développement,Limagrain,"
        Essai 2 :
        - Rendement moyen: 61.3 q/ha
        - Taux de germination: 97.3%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: Positif
        ",1732294828570,1.88,Brun,1591833600000,15.44,93.09,5.4,29.54,165,Semi-protégé,5,6,9.8,242,Azote organique,Luzerne,1.03,Moyenne,12.95,Faible,Hybridation classique,Est,Variété de Seigle adaptée pour climat océanique,Double usage,Bonne,Raisonné,Certifiée,2 ans,Rétrocroisement,1%
3,Triticale-2724,TR426,Triticale,Composite,Résistance maladies++,Espagne,1599609600000,En attente d'homologation,RAGT,"
        Essai 3 :
        - Rendement moyen: 69.3 q/ha
        - Taux de germination: 97.8%
        - Résistance maladie: Excellente
        - Test en conditions réelles: À confirmer
        ",1732294828570,1.81,Jaune paille,1591747200000,14.07,110.43,5.46,23.3,171,Serre,5,5,13.6,315,Urée,Pois,1.12,Moyenne,13.95,Élevé,Culture in vitro,Sud,Variété de Triticale adaptée pour climat continental,Alimentation animale,Moyenne,Conservation,Standard,3 ans,Rétrocroisement,1%
4,Seigle-3642,SE311,Seigle,Synthétique,Haut rendement,Italie,1594339200000,En test,KWS,"
        Essai 4 :
        - Rendement moyen: 81.9 q/ha
        - Taux de germination: 93.4%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: En cours
        ",1732294828570,1.57,Brun,1593388800000,14.56,97.64,5.5600000000000005,18.97,179,Serre,3,4,12.4,318,NPK,Féverole,1.17,Moyenne,12.63,Modéré,Hybridation classique,Est,Variété de Seigle adaptée pour climat continental,Double usage,Moyenne,Conservation,Premium,5 ans,Sélection récurrente,5%
7,Triticale-7838,TR733,Triticale,Composite,Tolérance sécheresse,Italie,1592956800000,En développement,Limagrain,"
        Essai 7 :
        - Rendement moyen: 74.3 q/ha
        - Taux de germination: 88.0%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: Positif
        ",1732294828570,1.06,Jaune paille,1590883200000,14.98,93.49,3.68,34.9,144,Plein champ,2,2,8.3,330,Fumier composté,Pois,1.11,Élevée,13.48,Faible,Hybridation classique,Centre,Variété de Triticale adaptée pour climat continental,Double usage,Excellente,Biologique,Certifiée,5 ans,Rétrocroisement,0%
8,Blé dur-7266,BL220,Blé dur,Lignée pure,Résistance maladies++,France,1595030400000,En test,Florimond Desprez,"
        Essai 8 :
        - Rendement moyen: 65.6 q/ha
        - Taux de germination: 94.1%
        - Résistance maladie: Bonne
        - Test en conditions réelles: À confirmer
        ",1732294828570,1.43,Brun,1592784000000,13.9,114.43,3.38,26.54,169,Semi-protégé,2,4,12.5,282,Urée,Trèfle,0.89,Faible,14.48,Élevé,Sélection assistée par marqueurs,Sud,Variété de Blé dur adaptée pour climat méditerranéen,Double usage,Bonne,Conservation,Certifiée,5 ans,Rétrocroisement,2%
11,Triticale-5045,TR315,Triticale,Hybride F1,Tolérance sécheresse,Italie,1597622400000,Commercialisé,KWS,"
        Essai 11 :
        - Rendement moyen: 72.0 q/ha
        - Taux de germination: 86.1%
        - Résistance maladie: Excellente
        - Test en conditions réelles: Positif
        ",1732294828570,1.22,Jaune paille,1593475200000,15.39,79.37,4.07,16.38,143,Serre,3,6,11.4,245,Azote organique,Luzerne,0.9500000000000001,Moyenne,14.42,Élevé,Culture in vitro,Sud,Variété de Triticale adaptée pour climat méditerranéen,Alimentation animale,Moyenne,Raisonné,Certifiée,2 ans,Rétrocroisement,5%
12,Blé tendre-1693,BL897,Blé tendre,Population,Haut rendement,Espagne,1587945600000,En attente d'homologation,Limagrain,"
        Essai 12 :
        - Rendement moyen: 62.6 q/ha
        - Taux de germination: 96.5%
        - Résistance maladie: Excellente
        - Test en conditions réelles: Positif
        ",1732294828570,1.9,Roux,1593475200000,15.23,75.98,5.15,31.86,150,Serre,1,4,11.4,256,Azote organique,Pois,1.13,Élevée,12.71,Faible,Culture in vitro,Nord,Variété de Blé tendre adaptée pour climat continental,Alimentation humaine,Moyenne,Conservation,Elite,2 ans,Sélection récurrente,1%
13,Blé tendre-8329,BL865,Blé tendre,Population,Adaptation climat,Belgique,1601251200000,En test,Limagrain,"
        Essai 13 :
        - Rendement moyen: 87.9 q/ha
        - Taux de germination: 94.7%
        - Résistance maladie: Excellente
        - Test en conditions réelles: Positif
        ",1732294828570,1.32,Brun,1591747200000,13.06,76.9,4.34,32.72,154,Semi-protégé,4,4,13.4,340,Ammonitrate,Féverole,1.07,Faible,14.61,Faible,Hybridation classique,Centre,Variété de Blé tendre adaptée pour climat continental,Alimentation humaine,Excellente,Raisonné,Elite,4 ans,Sélection généalogique,0%
14,Seigle-3174,SE264,Seigle,Hybride F1,Haut rendement,Espagne,1609200000000,En attente d'homologation,Limagrain,"
        Essai 14 :
        - Rendement moyen: 81.1 q/ha
        - Taux de germination: 86.1%
        - Résistance maladie: Bonne
        - Test en conditions réelles: En cours
        ",1732294828570,0.97,Roux,1591142400000,14.78,87.51,5.68,21.19,179,Plein champ,5,5,11.9,347,Azote organique,Féverole,1.11,Faible,13.49,Élevé,Sélection assistée par marqueurs,Nord,Variété de Seigle adaptée pour climat océanique,Alimentation animale,Excellente,Raisonné,Premium,3 ans,Rétrocroisement,5%
16,Blé dur-3838,BL432,Blé dur,Lignée pure,Qualité protéique,France,1580860800000,Commercialisé,Limagrain,"
        Essai 16 :
        - Rendement moyen: 70.7 q/ha
        - Taux de germination: 86.2%
        - Résistance maladie: Excellente
        - Test en conditions réelles: Positif
        ",1732294828570,1.94,Roux,1592092800000,13.53,100.06,4.85,16.84,159,Plein champ,1,3,10.1,393,Urée,Féverole,1.11,Faible,12.36,Faible,Sélection assistée par marqueurs,Sud,Variété de Blé dur adaptée pour climat océanique,Double usage,Bonne,Conservation,Certifiée,4 ans,Rétrocroisement,1%
17,Avoine-2854,AV843,Avoine,Population,Adaptation climat,États-Unis,1606608000000,En attente d'homologation,Florimond Desprez,"
        Essai 17 :
        - Rendement moyen: 78.8 q/ha
        - Taux de germination: 90.5%
        - Résistance maladie: Excellente
        - Test en conditions réelles: À confirmer
        ",1732294828570,1.6600000000000001,Blanc,1591833600000,13.9,79.83,3.5,25.49,167,Plein champ,4,2,11.4,258,Fumier composté,Pois,0.81,Moyenne,15.0,Modéré,Culture in vitro,Ouest,Variété de Avoine adaptée pour climat continental,Alimentation humaine,Moyenne,Raisonné,Premium,4 ans,Sélection généalogique,3%
18,Blé tendre-1109,BL842,Blé tendre,Population,Qualité protéique,États-Unis,1578268800000,Commercialisé,Limagrain,"
        Essai 18 :
        - Rendement moyen: 84.5 q/ha
        - Taux de germination: 96.7%
        - Résistance maladie: Bonne
        - Test en conditions réelles: Positif
        ",1732294828570,1.9,Doré,1593302400000,13.93,116.72,5.62,30.33,158,Plein champ,4,2,8.3,205,Fumier composté,Pois,1.07,Moyenne,12.58,Élevé,Hybridation classique,Sud,Variété de Blé tendre adaptée pour climat méditerranéen,Alimentation humaine,Bonne,Conventionnel,Certifiée,5 ans,Sélection récurrente,1%
20,Seigle-5886,SE411,Seigle,Population,Résistance maladies++,Espagne,1595289600000,En attente d'homologation,KWS,"
        Essai 20 :
        - Rendement moyen: 80.1 q/ha
        - Taux de germination: 92.0%
        - Résistance maladie: Excellente
        - Test en conditions réelles: À confirmer
        ",1732294828570,0.9500000000000001,Doré,1591488000000,11.19,112.37,5.59,27.94,151,Plein champ,3,4,11.6,372,Azote organique,Féverole,0.81,Moyenne,13.22,Faible,Sélection assistée par marqueurs,Sud,Variété de Seigle adaptée pour climat continental,Alimentation animale,Excellente,Biologique,Elite,3 ans,Sélection généalogique,4%
23,Triticale-7404,TR472,Triticale,Hybride F1,Résistance maladies++,Allemagne,1586217600000,En test,Syngenta,"
        Essai 23 :
        - Rendement moyen: 66.9 q/ha
        - Taux de germination: 95.1%
        - Résistance maladie: Bonne
        - Test en conditions réelles: En cours
        ",1732294828571,1.5,Brun,1593388800000,11.04,75.52,3.6,29.8,150,Serre,3,5,10.8,272,Ammonitrate,Pois,1.17,Élevée,13.09,Faible,Culture in vitro,Est,Variété de Triticale adaptée pour climat continental,Alimentation humaine,Bonne,Conservation,Elite,4 ans,Sélection généalogique,5%
26,Blé tendre-3536,BL200,Blé tendre,Lignée pure,Résistance maladies++,Italie,1607040000000,En développement,Syngenta,"
        Essai 26 :
        - Rendement moyen: 77.3 q/ha
        - Taux de germination: 86.7%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: À confirmer
        ",1732294828571,0.98,Roux,1595116800000,10.67,91.37,3.86,32.58,163,Serre,1,2,14.0,310,Azote organique,Trèfle,0.9500000000000001,Moyenne,13.44,Modéré,Hybridation classique,Nord,Variété de Blé tendre adaptée pour climat océanique,Double usage,Moyenne,Biologique,Standard,3 ans,Rétrocroisement,4%
27,Avoine-4765,AV764,Avoine,Hybride F1,Adaptation climat,Pays-Bas,1607126400000,En test,Syngenta,"
        Essai 27 :
        - Rendement moyen: 79.4 q/ha
        - Taux de germination: 91.6%
        - Résistance maladie: Excellente
        - Test en conditions réelles: Positif
        ",1732294828571,1.29,Brun,1593475200000,14.12,83.61,4.5600000000000005,29.37,176,Serre,2,4,9.7,213,Fumier composté,Pois,1.06,Moyenne,12.53,Faible,Sélection assistée par marqueurs,Sud,Variété de Avoine adaptée pour climat méditerranéen,Alimentation animale,Moyenne,Biologique,Premium,3 ans,Rétrocroisement,1%
